,NIC5digitId,tech_msme_count,Activity
0,46512,42,Wholesale of software
1,47413,29,Retail sale of non-customized software
2,58201,110,Publishing of operating systems and system software
3,62011,376,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing"
4,62012,326,Web-page designing
5,62013,646,Providing software support and maintenance to the clients
6,62020,530,Computer consultancy and computer facilities management activities
7,62091,341,Software installation
8,62092,40,Computer disaster recovery
9,62099,1277,Other information technology and computer service activities n.e.c
10,63111,140,Data processing activities including report writing
11,63112,114,Web hosting activities
12,63113,40,Providing general time-share mainframe facilities to clients
13,63114,108,Providing data entry services
14,63119,193,"Other data processing, hosting and related activities n.e.c."
15,63121,136,Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format
16,63122,158,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content"
17,63910,71,News agency activities
18,63991,85,Telephone based information services
19,63992,53,Activities of cyber café
20,63999,715,Other information service activities n.e.c.
